teamIDfg,Season,Team,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM,OAA,Range
17,2024,Cubs,1321,882,7776.0,2592,786,53,32,20,133,55,43,55,9,75,13,6,28,0.985,,-3,-2,4,6,-3,9,1210,984,0.813,362,,,4.0,-3.6,7.6,-6.3,1.8,1.7,,,-3.1,,,,,,,,,,,,,-5,1,11,-4.0,-3,-2
12,2024,Rays,1305,864,7752.0,2584,737,46,28,18,150,64,45,64,10,77,14,7,17,0.986,,-1,2,-6,-5,0,-7,1198,954,0.796,375,,,-2.5,2.1,0.3,-6.0,-6.2,-2.0,,,-3.8,,,,,,,,,,,,,5,0,1,2.6,2,2
25,2024,Mets,1318,855,7680.0,2560,841,64,33,31,202,84,65,84,25,84,21,4,35,0.982,,0,-2,-5,-1,-15,-19,1187,965,0.813,330,,,-2.4,-0.3,-5.5,3.1,-5.1,-1.9,,,-3.9,,,,,,,,,,,,,-2,-2,14,-1.6,-6,-5
29,2024,Padres,1354,891,7881.0,2627,770,48,28,20,181,74,55,74,10,58,18,10,37,0.986,,2,1,0,-7,-13,-9,1179,967,0.82,317,,,3.6,-1.3,-4.6,-3.7,-6.0,-0.7,,,-7.3,,,,,,,,,,,,,-4,-3,11,-3.7,-5,-4
18,2024,Reds,1328,873,7710.0,2570,730,59,24,33,147,61,46,61,10,70,24,2,28,0.982,,0,-4,-9,-1,-18,-28,1109,883,0.796,385,,,-5.6,-4.4,-0.5,-6.7,-17.2,-6.4,,,-9.4,,,,,,,,,,,,,-6,-2,13,-2.5,-6,-5
3,2024,Red Sox,1346,864,7692.0,2564,827,69,36,32,162,66,48,66,15,57,18,6,31,0.98,,2,-4,9,-6,5,24,1177,950,0.807,379,,,-2.4,-3.1,12.4,-13.2,-6.3,-2.1,,,-12.4,,,,,,,,,,,,,3,-1,18,-1.2,-15,-9
20,2024,Marlins,1354,864,7662.0,2554,880,66,34,31,174,67,53,67,8,88,26,2,33,0.981,,0,-1,0,-8,-19,-32,1254,1011,0.806,354,,,-0.1,-1.6,-11.3,-6.0,-19.0,-4.4,,,-13.2,,,,,,,,,,,,,-2,-1,4,-1.0,-24,-19
1,2024,Angels,1253,864,7662.0,2554,850,50,22,28,212,81,62,81,9,73,22,3,38,0.986,,1,2,-4,4,0,7,1241,1034,0.833,337,,,-0.4,-0.6,-4.6,0.0,-5.5,-1.5,,,-18.6,,,,,,,,,,,,,-3,-1,7,-2.0,-21,-16
27,2024,Pirates,1300,864,7743.0,2581,839,48,26,22,215,82,64,82,6,72,17,7,22,0.986,,-2,4,-7,0,-7,-12,1190,965,0.811,358,,,-2.3,4.3,2.1,-2.5,1.7,-0.6,,,-20.1,,,,,,,,,,,,,3,-1,1,0.0,-18,-16
10,2024,Athletics,1350,882,7761.0,2587,836,59,23,36,242,96,68,96,10,65,22,10,30,0.983,,-1,3,2,-1,-29,-28,1252,1008,0.805,346,,,4.4,2.9,-9.4,0.0,-2.0,0.6,,,-23.9,,,,,,,,,,,,,-9,3,2,0.0,-27,-23
24,2024,Nationals,1296,873,7725.0,2575,839,54,29,25,203,89,65,90,15,81,18,4,42,0.984,,0,-1,1,-4,-12,-28,1220,983,0.806,362,,,-0.4,0.6,-2.0,-1.4,-3.2,-0.9,,,-24.6,,,,,,,,,,,,,-3,0,-3,-4.6,-25,-21
4,2024,White Sox,1312,882,7758.0,2586,777,57,29,28,153,60,46,60,5,85,17,6,37,0.983,,-1,1,-5,-4,-35,-47,1245,990,0.795,338,,,-8.0,0.2,-8.0,-2.1,-17.8,-5.5,,,-31.7,,,,,,,,,,,,,-9,-1,9,-4.1,-27,-22
