Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Saturday, May 11",DET,Home,HOU,W,8.0,2.0,9.0,20-19,4.0,3.5,Skubal,Javier,None,2:41,N,27140.0,.83,1.0,
"Sunday, May 12",DET,Home,HOU,L,3.0,9.0,9.0,20-20,4.0,4.5,Verlander,Flaherty,None,2:43,D,27004.0,.92,-1.0,
"Monday, May 13",DET,Home,MIA,W,6.0,5.0,9.0,21-20,4.0,4.5,Faedo,Maldonado,Foley,2:24,N,12901.0,.80,1.0,
"Tuesday, May 14",DET,Home,MIA,L,0.0,1.0,10.0,21-21,4.0,5.5,Scott,Lange,Puk,2:09,N,16498.0,.87,-1.0,
"Wednesday, May 15",DET,Home,MIA,L,0.0,2.0,9.0,21-22,4.0,5.5,Rogers,Mize,Scott,2:25,D,19806.0,.85,-2.0,
"Friday, May 17",DET,@,ARI,W,13.0,0.0,9.0,22-22,4.0,5.5,Skubal,Nelson,None,2:17,N,25122.0,.77,1.0,
"Saturday, May 18",DET,@,ARI,W,8.0,3.0,9.0,23-22,4.0,5.5,Flaherty,Gallen,None,2:51,N,35826.0,.85,2.0,
"Sunday, May 19",DET,@,ARI,L,4.0,6.0,9.0,23-23,4.0,6.5,Thompson,Holton,Sewald,2:37,D,26911.0,.84,-1.0,
"Monday, May 20",DET,@,KCR,L,3.0,8.0,9.0,23-24,4.0,7.5,Wacha,Olson,Stratton,2:40,N,12986.0,.93,-2.0,
"Tuesday, May 21",DET,@,KCR,L,3.0,10.0,9.0,23-25,4.0,8.5,Marsh,Mize,None,2:19,N,14031.0,.87,-3.0,
"Wednesday, May 22",DET,@,KCR,L,3.0,8.0,9.0,23-26,4.0,9.5,Ragans,Skubal,None,2:36,D,15004.0,.77,-4.0,
"Thursday, May 23",DET,Home,TOR,L,1.0,9.0,9.0,23-27,4.0,10.0,Gausman,Flaherty,None,2:30,N,17049.0,.64,-5.0,
"Friday, May 24",DET,Home,TOR,W,6.0,2.0,9.0,24-27,4.0,10.0,Maeda,Manoah,Foley,2:37,N,27160.0,.58,1.0,
"Saturday, May 25",DET,Home,TOR,W,2.0,1.0,9.0,25-27,4.0,10.0,Olson,Berríos,Holton,2:04,D,35321.0,.61,2.0,
"Sunday, May 26",DET,Home,TOR,W-wo,14.0,11.0,9.0,26-27,4.0,10.0,Englert,Romano,None,3:19,D,27627.0,.66,3.0,
"Wednesday, May 29 (1)",DET,Home,PIT,W,8.0,0.0,9.0,27-27,4.0,9.5,Skubal,Jones,None,2:16,D,,.66,4.0,
"Wednesday, May 29 (2)",DET,Home,PIT,L,2.0,10.0,9.0,27-28,4.0,9.5,Skenes,Montero,None,2:35,D,23408.0,.72,-1.0,
"Thursday, May 30",DET,@,BOS,W,5.0,0.0,9.0,28-28,4.0,9.0,Flaherty,Pivetta,None,2:35,N,31077.0,.70,1.0,
"Friday, May 31",DET,@,BOS,L,3.0,7.0,9.0,28-29,4.0,10.0,Houck,Maeda,None,2:31,N,31231.0,.75,-1.0,
"Saturday, Jun 1",DET,@,BOS,L,3.0,6.0,9.0,28-30,4.0,11.0,Criswell,Olson,None,2:23,D,33806.0,.71,-2.0,
"Sunday, Jun 2",DET,@,BOS,W,8.0,4.0,10.0,29-30,4.0,10.0,Chafin,Booser,None,3:01,D,34662.0,.69,1.0,
"Monday, Jun 3",DET,@,TEX,W,2.0,1.0,9.0,30-30,4.0,9.5,Brieske,Leclerc,None,2:13,N,28620.0,.68,2.0,
"Tuesday, Jun 4",DET,@,TEX,W,3.0,1.0,9.0,31-30,4.0,9.5,Flaherty,Dunning,Foley,2:28,N,35095.0,.74,3.0,
"Wednesday, Jun 5",DET,@,TEX,L,1.0,9.0,9.0,31-31,4.0,10.0,Ureña,Wentz,None,2:43,N,29748.0,.79,-1.0,
"Friday, Jun 7",DET,Home,MIL,L,0.0,10.0,9.0,31-32,4.0,9.5,Myers,Olson,None,2:22,N,24512.0,.72,-2.0,
"Saturday, Jun 8",DET,Home,MIL,L,4.0,5.0,9.0,31-33,4.0,10.5,Koenig,Mize,Megill,3:03,D,32333.0,.66,-3.0,
"Sunday, Jun 9",DET,Home,MIL,W,10.0,2.0,9.0,32-33,4.0,10.5,Skubal,Wilson,None,2:26,D,24077.0,.63,1.0,
"Tuesday, Jun 11",DET,Home,WSN,L,4.0,5.0,10.0,32-34,4.0,11.5,Finnegan,Chafin,None,2:51,N,18368.0,.63,-1.0,
"Wednesday, Jun 12",DET,Home,WSN,L,5.0,7.0,9.0,32-35,4.0,11.5,Irvin,Olson,Finnegan,2:50,N,20645.0,.60,-2.0,
"Thursday, Jun 13",DET,Home,WSN,W,7.0,2.0,9.0,33-35,4.0,11.0,Miller,Law,None,2:34,D,21925.0,.54,1.0,
"Friday, Jun 14",DET,@,HOU,L,0.0,4.0,9.0,33-36,4.0,12.0,Brown,Skubal,None,2:05,N,36902.0,.57,-1.0,
"Saturday, Jun 15",DET,@,HOU,W,13.0,5.0,9.0,34-36,4.0,11.0,Flaherty,Arrighetti,None,3:01,D,37675.0,.56,1.0,
"Sunday, Jun 16",DET,@,HOU,L,1.0,4.0,9.0,34-37,4.0,11.0,Blanco,Maeda,None,2:10,D,39199.0,.60,-1.0,
"Monday, Jun 17",DET,@,ATL,L,1.0,2.0,9.0,34-38,4.0,11.5,Hernández,Miller,Jiménez,2:20,N,38273.0,.51,-2.0,
"Tuesday, Jun 18",DET,@,ATL,L,1.0,2.0,9.0,34-39,4.0,11.5,Schwellenbach,Mize,Iglesias,2:19,N,37561.0,.46,-3.0,
"Wednesday, Jun 19",DET,@,ATL,L,0.0,7.0,9.0,34-40,4.0,12.5,López,Skubal,None,2:27,D,36055.0,.44,-4.0,
"Friday, Jun 21",DET,Home,CHW,W,2.0,1.0,9.0,35-40,4.0,13.0,Flaherty,Fedde,Foley,2:06,N,24938.0,.37,1.0,
"Saturday, Jun 22",DET,Home,CHW,L,1.0,5.0,9.0,35-41,4.0,14.0,Thorpe,Maeda,None,2:43,D,29269.0,.45,-1.0,
"Sunday, Jun 23",DET,Home,CHW,W,11.0,2.0,9.0,36-41,4.0,14.0,Olson,Cannon,None,2:45,D,22975.0,.35,1.0,
"Monday, Jun 24",DET,Home,PHI,L,1.0,8.0,9.0,36-42,4.0,15.0,Nola,Mize,None,2:55,N,20108.0,.37,-1.0,
"Tuesday, Jun 25",DET,Home,PHI,W,4.0,1.0,9.0,37-42,4.0,15.0,Skubal,Suárez,None,2:04,N,24345.0,.33,1.0,
"Wednesday, Jun 26",DET,Home,PHI,L,2.0,6.0,9.0,37-43,4.0,15.0,Ruiz,Montero,None,2:30,D,22530.0,.37,-1.0,
"Thursday, Jun 27",DET,@,LAA,L,0.0,5.0,9.0,37-44,4.0,15.0,Daniel,Flaherty,None,2:05,N,27340.0,.32,-2.0,
"Friday, Jun 28",DET,@,LAA,L,2.0,5.0,9.0,37-45,4.0,15.0,García,Miller,Estévez,2:16,N,34381.0,.25,-3.0,
"Saturday, Jun 29",DET,@,LAA,L-wo,5.0,6.0,10.0,37-46,4.0,16.0,Joyce,Foley,None,2:50,N,39559.0,.22,-4.0,
"Sunday, Jun 30",DET,@,LAA,W,7.0,6.0,9.0,38-46,4.0,15.0,Mize,Anderson,Holton,2:42,D,35061.0,.24,1.0,
"Tuesday, Jul 2",DET,@,MIN,L,3.0,5.0,9.0,38-47,4.0,16.0,Alcalá,Vest,Durán,2:21,N,19609.0,.25,-1.0,
"Wednesday, Jul 3",DET,@,MIN,W,9.0,2.0,9.0,39-47,4.0,15.0,Montero,Festa,None,2:22,N,25053.0,.21,1.0,
"Thursday, Jul 4",DET,@,MIN,L,3.0,12.0,7.0,39-48,4.0,16.0,Ober,Maeda,None,2:17,D,20893.0,.21,-1.0,
"Friday, Jul 5",DET,@,CIN,W,5.0,4.0,9.0,40-48,4.0,15.0,Olson,Spiers,Foley,2:44,N,40663.0,.17,1.0,
"Saturday, Jul 6",DET,@,CIN,W,5.0,3.0,9.0,41-48,4.0,15.0,Miller,Cruz,Chafin,2:45,D,31464.0,.23,2.0,
"Sunday, Jul 7",DET,@,CIN,W,5.0,1.0,9.0,42-48,4.0,15.0,Skubal,Ashcraft,None,2:19,D,25451.0,.26,3.0,
"Monday, Jul 8",DET,Home,CLE,W,1.0,0.0,9.0,43-48,4.0,14.0,Holton,Barlow,Miller,2:11,N,17677.0,.30,4.0,
"Tuesday, Jul 9",DET,Home,CLE,L,8.0,9.0,10.0,43-49,4.0,15.0,Barlow,Vest,Clase,3:08,N,17111.0,.34,-1.0,
"Wednesday, Jul 10",DET,Home,CLE,W,5.0,4.0,9.0,44-49,4.0,14.0,Olson,Bibee,Foley,2:39,N,16862.0,.25,1.0,
"Thursday, Jul 11",DET,Home,CLE,W,10.0,1.0,9.0,45-49,4.0,13.0,Flaherty,Howard,None,2:19,D,22399.0,.28,2.0,
"Friday, Jul 12",DET,Home,LAD,L,3.0,4.0,9.0,45-50,4.0,13.0,Petersen,Foley,Hudson,2:58,N,42060.0,.30,-1.0,
"Saturday, Jul 13",DET,Home,LAD,W-wo,11.0,9.0,10.0,46-50,4.0,13.0,Vest,Ramírez,None,3:11,D,40196.0,.27,1.0,
"Sunday, Jul 14",DET,Home,LAD,W-wo,4.0,3.0,9.0,47-50,4.0,12.0,Faedo,Ramírez,None,2:52,D,35159.0,.28,2.0,
"Friday, Jul 19",DET,@,TOR,,,,,,,,,,,,,,,,
"Saturday, Jul 20",DET,@,TOR,,,,,,,,,,,,,,,,
"Sunday, Jul 21",DET,@,TOR,,,,,,,,,,,,,,,,
"Monday, Jul 22",DET,@,CLE,,,,,,,,,,,,,,,,
"Tuesday, Jul 23",DET,@,CLE,,,,,,,,,,,,,,,,
"Wednesday, Jul 24",DET,@,CLE,,,,,,,,,,,,,,,,
"Thursday, Jul 25",DET,@,CLE,,,,,,,,,,,,,,,,
"Friday, Jul 26",DET,Home,MIN,,,,,,,,,,,,,,,,
"Saturday, Jul 27",DET,Home,MIN,,,,,,,,,,,,,,,,
"Sunday, Jul 28",DET,Home,MIN,,,,,,,,,,,,,,,,
"Monday, Jul 29",DET,Home,CLE,,,,,,,,,,,,,,,,
"Tuesday, Jul 30",DET,Home,CLE,,,,,,,,,,,,,,,,
"Thursday, Aug 1",DET,Home,KCR,,,,,,,,,,,,,,,,
"Friday, Aug 2",DET,Home,KCR,,,,,,,,,,,,,,,,
"Saturday, Aug 3",DET,Home,KCR,,,,,,,,,,,,,,,,
"Sunday, Aug 4",DET,Home,KCR,,,,,,,,,,,,,,,,
"Tuesday, Aug 6",DET,@,SEA,,,,,,,,,,,,,,,,
"Wednesday, Aug 7",DET,@,SEA,,,,,,,,,,,,,,,,
"Thursday, Aug 8",DET,@,SEA,,,,,,,,,,,,,,,,
"Friday, Aug 9",DET,@,SFG,,,,,,,,,,,,,,,,
"Saturday, Aug 10",DET,@,SFG,,,,,,,,,,,,,,,,
"Sunday, Aug 11",DET,@,SFG,,,,,,,,,,,,,,,,
"Tuesday, Aug 13",DET,Home,SEA,,,,,,,,,,,,,,,,
"Wednesday, Aug 14",DET,Home,SEA,,,,,,,,,,,,,,,,
"Thursday, Aug 15",DET,Home,SEA,,,,,,,,,,,,,,,,
"Friday, Aug 16",DET,Home,NYY,,,,,,,,,,,,,,,,
"Saturday, Aug 17",DET,Home,NYY,,,,,,,,,,,,,,,,
"Sunday, Aug 18",DET,Home,NYY,,,,,,,,,,,,,,,,
"Tuesday, Aug 20",DET,@,CHC,,,,,,,,,,,,,,,,
"Wednesday, Aug 21",DET,@,CHC,,,,,,,,,,,,,,,,
"Thursday, Aug 22",DET,@,CHC,,,,,,,,,,,,,,,,
"Friday, Aug 23",DET,@,CHW,,,,,,,,,,,,,,,,
"Saturday, Aug 24",DET,@,CHW,,,,,,,,,,,,,,,,
"Sunday, Aug 25",DET,@,CHW,,,,,,,,,,,,,,,,
"Monday, Aug 26",DET,@,CHW,,,,,,,,,,,,,,,,
"Tuesday, Aug 27",DET,Home,LAA,,,,,,,,,,,,,,,,
"Wednesday, Aug 28",DET,Home,LAA,,,,,,,,,,,,,,,,
"Thursday, Aug 29",DET,Home,LAA,,,,,,,,,,,,,,,,
"Friday, Aug 30",DET,Home,BOS,,,,,,,,,,,,,,,,
"Saturday, Aug 31",DET,Home,BOS,,,,,,,,,,,,,,,,
"Sunday, Sep 1",DET,Home,BOS,,,,,,,,,,,,,,,,
"Monday, Sep 2",DET,@,SDP,,,,,,,,,,,,,,,,
"Wednesday, Sep 4",DET,@,SDP,,,,,,,,,,,,,,,,
"Thursday, Sep 5",DET,@,SDP,,,,,,,,,,,,,,,,
"Friday, Sep 6",DET,@,OAK,,,,,,,,,,,,,,,,
"Saturday, Sep 7",DET,@,OAK,,,,,,,,,,,,,,,,
"Sunday, Sep 8",DET,@,OAK,,,,,,,,,,,,,,,,
"Tuesday, Sep 10",DET,Home,COL,,,,,,,,,,,,,,,,
"Wednesday, Sep 11",DET,Home,COL,,,,,,,,,,,,,,,,
"Thursday, Sep 12",DET,Home,COL,,,,,,,,,,,,,,,,
"Friday, Sep 13",DET,Home,BAL,,,,,,,,,,,,,,,,
"Saturday, Sep 14",DET,Home,BAL,,,,,,,,,,,,,,,,
"Sunday, Sep 15",DET,Home,BAL,,,,,,,,,,,,,,,,
"Monday, Sep 16",DET,@,KCR,,,,,,,,,,,,,,,,
"Tuesday, Sep 17",DET,@,KCR,,,,,,,,,,,,,,,,
"Wednesday, Sep 18",DET,@,KCR,,,,,,,,,,,,,,,,
"Friday, Sep 20",DET,@,BAL,,,,,,,,,,,,,,,,
"Saturday, Sep 21",DET,@,BAL,,,,,,,,,,,,,,,,
"Sunday, Sep 22",DET,@,BAL,,,,,,,,,,,,,,,,
"Tuesday, Sep 24",DET,Home,TBR,,,,,,,,,,,,,,,,
"Wednesday, Sep 25",DET,Home,TBR,,,,,,,,,,,,,,,,
"Thursday, Sep 26",DET,Home,TBR,,,,,,,,,,,,,,,,
"Friday, Sep 27",DET,Home,CHW,,,,,,,,,,,,,,,,
"Saturday, Sep 28",DET,Home,CHW,,,,,,,,,,,,,,,,
"Sunday, Sep 29",DET,Home,CHW,,,,,,,,,,,,,,,,
