Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Wednesday, Jul 3",BAL,@,SEA,W,4.0,1.0,9.0,55-31,1.0,up 2.0,Kremer,Gilbert,Kimbrel,2:26,N,37998.0,1.04,2.0,
"Thursday, Jul 4",BAL,@,SEA,L,3.0,7.0,9.0,55-32,1.0,up 2.0,Stanek,Baker,None,2:41,D,32347.0,1.00,-1.0,
"Friday, Jul 5",BAL,@,OAK,W,3.0,2.0,9.0,56-32,1.0,up 3.0,Suárez,Harris,Kimbrel,2:28,N,9654.0,1.03,1.0,
"Saturday, Jul 6",BAL,@,OAK,L,8.0,19.0,9.0,56-33,1.0,up 2.0,Medina,Povich,None,2:59,D,8526.0,.96,-1.0,
"Sunday, Jul 7",BAL,@,OAK,W,6.0,3.0,9.0,57-33,1.0,up 3.0,Rodriguez,Spence,Kimbrel,2:35,D,14524.0,.97,1.0,
"Tuesday, Jul 9",BAL,Home,CHC,L,2.0,9.0,9.0,57-34,1.0,up 3.0,Taillon,Kremer,None,2:39,N,30373.0,.97,-1.0,
"Wednesday, Jul 10",BAL,Home,CHC,L,0.0,4.0,9.0,57-35,1.0,up 2.0,Imanaga,Burnes,None,2:45,N,20694.0,1.02,-2.0,
"Thursday, Jul 11",BAL,Home,CHC,L,0.0,8.0,9.0,57-36,1.0,up 2.0,Steele,Suárez,None,2:13,N,22685.0,1.12,-3.0,
"Friday, Jul 12",BAL,Home,NYY,L,1.0,4.0,9.0,57-37,1.0,up 1.0,Cole,Povich,Holmes,3:02,N,39566.0,1.69,-4.0,
"Saturday, Jul 13",BAL,Home,NYY,L,1.0,6.0,9.0,57-38,1.0,Tied,Gil,Rodriguez,None,2:35,D,44018.0,1.75,-5.0,
"Sunday, Jul 14",BAL,Home,NYY,W-wo,6.0,5.0,9.0,58-38,1.0,up 1.0,Kimbrel,Holmes,None,3:21,D,39031.0,1.86,1.0,
"Friday, Jul 19",BAL,@,TEX,,,,,,,,,,,,,,,,
"Saturday, Jul 20",BAL,@,TEX,,,,,,,,,,,,,,,,
