Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Sunday, Aug 18",MIA,@,NYM,,,,,,,,,,,,,,,,
"Monday, Aug 19",MIA,Home,ARI,,,,,,,,,,,,,,,,
"Tuesday, Aug 20",MIA,Home,ARI,,,,,,,,,,,,,,,,
"Wednesday, Aug 21",MIA,Home,ARI,,,,,,,,,,,,,,,,
"Friday, Aug 23",MIA,Home,CHC,,,,,,,,,,,,,,,,
"Saturday, Aug 24",MIA,Home,CHC,,,,,,,,,,,,,,,,
"Sunday, Aug 25",MIA,Home,CHC,,,,,,,,,,,,,,,,
"Monday, Aug 26",MIA,@,COL,,,,,,,,,,,,,,,,
"Tuesday, Aug 27",MIA,@,COL,,,,,,,,,,,,,,,,
"Wednesday, Aug 28",MIA,@,COL,,,,,,,,,,,,,,,,
"Thursday, Aug 29",MIA,@,COL,,,,,,,,,,,,,,,,
"Friday, Aug 30",MIA,@,SFG,,,,,,,,,,,,,,,,
"Saturday, Aug 31",MIA,@,SFG,,,,,,,,,,,,,,,,
"Sunday, Sep 1",MIA,@,SFG,,,,,,,,,,,,,,,,
"Tuesday, Sep 3",MIA,Home,WSN,,,,,,,,,,,,,,,,
"Wednesday, Sep 4",MIA,Home,WSN,,,,,,,,,,,,,,,,
"Thursday, Sep 5",MIA,Home,PHI,,,,,,,,,,,,,,,,
"Friday, Sep 6",MIA,Home,PHI,,,,,,,,,,,,,,,,
"Saturday, Sep 7",MIA,Home,PHI,,,,,,,,,,,,,,,,
"Sunday, Sep 8",MIA,Home,PHI,,,,,,,,,,,,,,,,
"Monday, Sep 9",MIA,@,PIT,,,,,,,,,,,,,,,,
"Tuesday, Sep 10",MIA,@,PIT,,,,,,,,,,,,,,,,
"Wednesday, Sep 11",MIA,@,PIT,,,,,,,,,,,,,,,,
"Thursday, Sep 12",MIA,@,WSN,,,,,,,,,,,,,,,,
"Friday, Sep 13",MIA,@,WSN,,,,,,,,,,,,,,,,
"Saturday, Sep 14",MIA,@,WSN,,,,,,,,,,,,,,,,
"Sunday, Sep 15",MIA,@,WSN,,,,,,,,,,,,,,,,
"Tuesday, Sep 17",MIA,Home,LAD,,,,,,,,,,,,,,,,
"Wednesday, Sep 18",MIA,Home,LAD,,,,,,,,,,,,,,,,
"Thursday, Sep 19",MIA,Home,LAD,,,,,,,,,,,,,,,,
"Friday, Sep 20",MIA,Home,ATL,,,,,,,,,,,,,,,,
"Saturday, Sep 21",MIA,Home,ATL,,,,,,,,,,,,,,,,
"Sunday, Sep 22",MIA,Home,ATL,,,,,,,,,,,,,,,,
"Tuesday, Sep 24",MIA,@,MIN,,,,,,,,,,,,,,,,
"Wednesday, Sep 25",MIA,@,MIN,,,,,,,,,,,,,,,,
"Thursday, Sep 26",MIA,@,MIN,,,,,,,,,,,,,,,,
"Friday, Sep 27",MIA,@,TOR,,,,,,,,,,,,,,,,
"Saturday, Sep 28",MIA,@,TOR,,,,,,,,,,,,,,,,
"Sunday, Sep 29",MIA,@,TOR,,,,,,,,,,,,,,,,
