Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Sunday, Jul 14",CHW,Home,PIT,L,4.0,9.0,9.0,27-71,5.0,32.5,Priester,Kuhl,None,2:47,D,16501.0,.00,-4.0,
"Friday, Jul 19",CHW,@,KCR,,,,,,,,,,,,,,,,
"Saturday, Jul 20",CHW,@,KCR,,,,,,,,,,,,,,,,
"Sunday, Jul 21",CHW,@,KCR,,,,,,,,,,,,,,,,
"Monday, Jul 22",CHW,@,TEX,,,,,,,,,,,,,,,,
"Tuesday, Jul 23",CHW,@,TEX,,,,,,,,,,,,,,,,
"Wednesday, Jul 24",CHW,@,TEX,,,,,,,,,,,,,,,,
"Thursday, Jul 25",CHW,@,TEX,,,,,,,,,,,,,,,,
"Friday, Jul 26",CHW,Home,SEA,,,,,,,,,,,,,,,,
"Saturday, Jul 27",CHW,Home,SEA,,,,,,,,,,,,,,,,
"Sunday, Jul 28",CHW,Home,SEA,,,,,,,,,,,,,,,,
"Monday, Jul 29",CHW,Home,KCR,,,,,,,,,,,,,,,,
"Tuesday, Jul 30",CHW,Home,KCR,,,,,,,,,,,,,,,,
"Wednesday, Jul 31",CHW,Home,KCR,,,,,,,,,,,,,,,,
"Friday, Aug 2",CHW,@,MIN,,,,,,,,,,,,,,,,
"Saturday, Aug 3",CHW,@,MIN,,,,,,,,,,,,,,,,
"Sunday, Aug 4",CHW,@,MIN,,,,,,,,,,,,,,,,
"Monday, Aug 5",CHW,@,OAK,,,,,,,,,,,,,,,,
"Tuesday, Aug 6",CHW,@,OAK,,,,,,,,,,,,,,,,
"Wednesday, Aug 7",CHW,@,OAK,,,,,,,,,,,,,,,,
"Friday, Aug 9",CHW,Home,CHC,,,,,,,,,,,,,,,,
"Saturday, Aug 10",CHW,Home,CHC,,,,,,,,,,,,,,,,
"Monday, Aug 12",CHW,Home,NYY,,,,,,,,,,,,,,,,
"Tuesday, Aug 13",CHW,Home,NYY,,,,,,,,,,,,,,,,
"Wednesday, Aug 14",CHW,Home,NYY,,,,,,,,,,,,,,,,
"Friday, Aug 16",CHW,@,HOU,,,,,,,,,,,,,,,,
"Saturday, Aug 17",CHW,@,HOU,,,,,,,,,,,,,,,,
"Sunday, Aug 18",CHW,@,HOU,,,,,,,,,,,,,,,,
"Monday, Aug 19",CHW,@,SFG,,,,,,,,,,,,,,,,
"Tuesday, Aug 20",CHW,@,SFG,,,,,,,,,,,,,,,,
"Wednesday, Aug 21",CHW,@,SFG,,,,,,,,,,,,,,,,
"Friday, Aug 23",CHW,Home,DET,,,,,,,,,,,,,,,,
"Saturday, Aug 24",CHW,Home,DET,,,,,,,,,,,,,,,,
"Sunday, Aug 25",CHW,Home,DET,,,,,,,,,,,,,,,,
"Monday, Aug 26",CHW,Home,DET,,,,,,,,,,,,,,,,
"Tuesday, Aug 27",CHW,Home,TEX,,,,,,,,,,,,,,,,
"Wednesday, Aug 28",CHW,Home,TEX,,,,,,,,,,,,,,,,
"Thursday, Aug 29",CHW,Home,TEX,,,,,,,,,,,,,,,,
"Friday, Aug 30",CHW,Home,NYM,,,,,,,,,,,,,,,,
"Saturday, Aug 31",CHW,Home,NYM,,,,,,,,,,,,,,,,
"Sunday, Sep 1",CHW,Home,NYM,,,,,,,,,,,,,,,,
"Monday, Sep 2",CHW,@,BAL,,,,,,,,,,,,,,,,
"Tuesday, Sep 3",CHW,@,BAL,,,,,,,,,,,,,,,,
"Wednesday, Sep 4",CHW,@,BAL,,,,,,,,,,,,,,,,
"Friday, Sep 6",CHW,@,BOS,,,,,,,,,,,,,,,,
"Saturday, Sep 7",CHW,@,BOS,,,,,,,,,,,,,,,,
"Sunday, Sep 8",CHW,@,BOS,,,,,,,,,,,,,,,,
"Monday, Sep 9",CHW,Home,CLE,,,,,,,,,,,,,,,,
"Tuesday, Sep 10",CHW,Home,CLE,,,,,,,,,,,,,,,,
"Wednesday, Sep 11",CHW,Home,CLE,,,,,,,,,,,,,,,,
"Friday, Sep 13",CHW,Home,OAK,,,,,,,,,,,,,,,,
"Saturday, Sep 14",CHW,Home,OAK,,,,,,,,,,,,,,,,
"Sunday, Sep 15",CHW,Home,OAK,,,,,,,,,,,,,,,,
"Monday, Sep 16",CHW,@,LAA,,,,,,,,,,,,,,,,
"Tuesday, Sep 17",CHW,@,LAA,,,,,,,,,,,,,,,,
"Wednesday, Sep 18",CHW,@,LAA,,,,,,,,,,,,,,,,
"Friday, Sep 20",CHW,@,SDP,,,,,,,,,,,,,,,,
"Saturday, Sep 21",CHW,@,SDP,,,,,,,,,,,,,,,,
"Sunday, Sep 22",CHW,@,SDP,,,,,,,,,,,,,,,,
"Tuesday, Sep 24",CHW,Home,LAA,,,,,,,,,,,,,,,,
"Wednesday, Sep 25",CHW,Home,LAA,,,,,,,,,,,,,,,,
"Thursday, Sep 26",CHW,Home,LAA,,,,,,,,,,,,,,,,
"Friday, Sep 27",CHW,@,DET,,,,,,,,,,,,,,,,
"Saturday, Sep 28",CHW,@,DET,,,,,,,,,,,,,,,,
"Sunday, Sep 29",CHW,@,DET,,,,,,,,,,,,,,,,
