Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Sunday, Jun 9",WSN,Home,ATL,W,8.0,5.0,9.0,30-35,3.0,15.0,Barnes,Waldrep,Finnegan,2:38,D,34282.0,.59,3.0,
"Tuesday, Jun 11",WSN,@,DET,W,5.0,4.0,10.0,31-35,3.0,15.0,Finnegan,Chafin,None,2:51,N,18368.0,.59,4.0,
"Wednesday, Jun 12",WSN,@,DET,W,7.0,5.0,9.0,32-35,3.0,14.0,Irvin,Olson,Finnegan,2:50,N,20645.0,.63,5.0,
"Thursday, Jun 13",WSN,@,DET,L,2.0,7.0,9.0,32-36,3.0,14.0,Miller,Law,None,2:34,D,21925.0,.65,-1.0,
"Friday, Jun 14",WSN,Home,MIA,W,8.0,1.0,9.0,33-36,3.0,14.0,Gore,Anderson,None,2:22,N,23303.0,.64,1.0,
"Saturday, Jun 15",WSN,Home,MIA,W,4.0,0.0,9.0,34-36,3.0,13.0,Herz,Rogers,None,2:08,D,25637.0,.67,2.0,
"Sunday, Jun 16",WSN,Home,MIA,W,3.0,1.0,9.0,35-36,3.0,12.0,Parker,Luzardo,Finnegan,2:23,D,27003.0,.73,3.0,
"Tuesday, Jun 18",WSN,Home,ARI,L,0.0,5.0,9.0,35-37,3.0,13.5,Cecconi,Irvin,None,2:19,N,28230.0,.82,-1.0,
"Wednesday, Jun 19",WSN,Home,ARI,W,3.0,1.0,9.0,36-37,3.0,12.5,Law,Pfaadt,Finnegan,2:15,D,20853.0,.73,1.0,
"Thursday, Jun 20",WSN,Home,ARI,L,2.0,5.0,9.0,36-38,3.0,13.0,Nelson,Gore,Sewald,2:17,D,21158.0,.78,-1.0,
"Friday, Jun 21",WSN,@,COL,W,11.0,5.0,9.0,37-38,3.0,12.0,Floro,Hudson,None,2:59,N,31935.0,.69,1.0,
"Saturday, Jun 22",WSN,@,COL,L-wo,7.0,8.0,9.0,37-39,3.0,13.0,Beeks,Finnegan,None,2:49,N,34509.0,.74,-1.0,
"Sunday, Jun 23",WSN,@,COL,W,2.0,1.0,9.0,38-39,3.0,13.0,Floro,Beeks,Finnegan,2:16,D,30407.0,.68,1.0,
