Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Wednesday, Sep 11",OAK,@,HOU,,,,,,,,,,,,,,,,
"Thursday, Sep 12",OAK,@,HOU,,,,,,,,,,,,,,,,
"Friday, Sep 13",OAK,@,CHW,,,,,,,,,,,,,,,,
"Saturday, Sep 14",OAK,@,CHW,,,,,,,,,,,,,,,,
"Sunday, Sep 15",OAK,@,CHW,,,,,,,,,,,,,,,,
"Monday, Sep 16",OAK,@,CHC,,,,,,,,,,,,,,,,
"Tuesday, Sep 17",OAK,@,CHC,,,,,,,,,,,,,,,,
"Wednesday, Sep 18",OAK,@,CHC,,,,,,,,,,,,,,,,
"Friday, Sep 20",OAK,Home,NYY,,,,,,,,,,,,,,,,
"Saturday, Sep 21",OAK,Home,NYY,,,,,,,,,,,,,,,,
"Sunday, Sep 22",OAK,Home,NYY,,,,,,,,,,,,,,,,
"Tuesday, Sep 24",OAK,Home,TEX,,,,,,,,,,,,,,,,
"Wednesday, Sep 25",OAK,Home,TEX,,,,,,,,,,,,,,,,
"Thursday, Sep 26",OAK,Home,TEX,,,,,,,,,,,,,,,,
"Friday, Sep 27",OAK,@,SEA,,,,,,,,,,,,,,,,
"Saturday, Sep 28",OAK,@,SEA,,,,,,,,,,,,,,,,
"Sunday, Sep 29",OAK,@,SEA,,,,,,,,,,,,,,,,
