Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Friday, Sep 6",SDP,Home,SFG,,,,,,,,,,,,,,,,
"Saturday, Sep 7",SDP,Home,SFG,,,,,,,,,,,,,,,,
"Sunday, Sep 8",SDP,Home,SFG,,,,,,,,,,,,,,,,
"Tuesday, Sep 10",SDP,@,SEA,,,,,,,,,,,,,,,,
"Wednesday, Sep 11",SDP,@,SEA,,,,,,,,,,,,,,,,
"Friday, Sep 13",SDP,@,SFG,,,,,,,,,,,,,,,,
"Saturday, Sep 14",SDP,@,SFG,,,,,,,,,,,,,,,,
"Sunday, Sep 15",SDP,@,SFG,,,,,,,,,,,,,,,,
"Monday, Sep 16",SDP,Home,HOU,,,,,,,,,,,,,,,,
"Tuesday, Sep 17",SDP,Home,HOU,,,,,,,,,,,,,,,,
"Wednesday, Sep 18",SDP,Home,HOU,,,,,,,,,,,,,,,,
"Friday, Sep 20",SDP,Home,CHW,,,,,,,,,,,,,,,,
"Saturday, Sep 21",SDP,Home,CHW,,,,,,,,,,,,,,,,
"Sunday, Sep 22",SDP,Home,CHW,,,,,,,,,,,,,,,,
"Tuesday, Sep 24",SDP,@,LAD,,,,,,,,,,,,,,,,
"Wednesday, Sep 25",SDP,@,LAD,,,,,,,,,,,,,,,,
"Thursday, Sep 26",SDP,@,LAD,,,,,,,,,,,,,,,,
"Friday, Sep 27",SDP,@,ARI,,,,,,,,,,,,,,,,
"Saturday, Sep 28",SDP,@,ARI,,,,,,,,,,,,,,,,
"Sunday, Sep 29",SDP,@,ARI,,,,,,,,,,,,,,,,
