Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Sunday, Jul 21",CLE,Home,SDP,,,,,,,,,,,,,,,,
"Monday, Jul 22",CLE,Home,DET,,,,,,,,,,,,,,,,
"Tuesday, Jul 23",CLE,Home,DET,,,,,,,,,,,,,,,,
"Wednesday, Jul 24",CLE,Home,DET,,,,,,,,,,,,,,,,
"Thursday, Jul 25",CLE,Home,DET,,,,,,,,,,,,,,,,
"Friday, Jul 26",CLE,@,PHI,,,,,,,,,,,,,,,,
"Saturday, Jul 27",CLE,@,PHI,,,,,,,,,,,,,,,,
"Sunday, Jul 28",CLE,@,PHI,,,,,,,,,,,,,,,,
"Monday, Jul 29",CLE,@,DET,,,,,,,,,,,,,,,,
"Tuesday, Jul 30",CLE,@,DET,,,,,,,,,,,,,,,,
"Thursday, Aug 1",CLE,Home,BAL,,,,,,,,,,,,,,,,
"Friday, Aug 2",CLE,Home,BAL,,,,,,,,,,,,,,,,
"Saturday, Aug 3",CLE,Home,BAL,,,,,,,,,,,,,,,,
"Sunday, Aug 4",CLE,Home,BAL,,,,,,,,,,,,,,,,
"Monday, Aug 5",CLE,Home,ARI,,,,,,,,,,,,,,,,
"Tuesday, Aug 6",CLE,Home,ARI,,,,,,,,,,,,,,,,
"Wednesday, Aug 7",CLE,Home,ARI,,,,,,,,,,,,,,,,
"Friday, Aug 9",CLE,@,MIN,,,,,,,,,,,,,,,,
"Friday, Aug 9",CLE,@,MIN,,,,,,,,,,,,,,,,
"Saturday, Aug 10",CLE,@,MIN,,,,,,,,,,,,,,,,
"Sunday, Aug 11",CLE,@,MIN,,,,,,,,,,,,,,,,
"Monday, Aug 12",CLE,Home,CHC,,,,,,,,,,,,,,,,
"Tuesday, Aug 13",CLE,Home,CHC,,,,,,,,,,,,,,,,
"Wednesday, Aug 14",CLE,Home,CHC,,,,,,,,,,,,,,,,
