Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Tuesday, Sep 10",TBR,@,PHI,,,,,,,,,,,,,,,,
"Wednesday, Sep 11",TBR,@,PHI,,,,,,,,,,,,,,,,
"Thursday, Sep 12",TBR,@,CLE,,,,,,,,,,,,,,,,
"Friday, Sep 13",TBR,@,CLE,,,,,,,,,,,,,,,,
"Saturday, Sep 14",TBR,@,CLE,,,,,,,,,,,,,,,,
"Sunday, Sep 15",TBR,@,CLE,,,,,,,,,,,,,,,,
"Tuesday, Sep 17",TBR,Home,BOS,,,,,,,,,,,,,,,,
"Wednesday, Sep 18",TBR,Home,BOS,,,,,,,,,,,,,,,,
"Thursday, Sep 19",TBR,Home,BOS,,,,,,,,,,,,,,,,
"Friday, Sep 20",TBR,Home,TOR,,,,,,,,,,,,,,,,
"Saturday, Sep 21",TBR,Home,TOR,,,,,,,,,,,,,,,,
"Sunday, Sep 22",TBR,Home,TOR,,,,,,,,,,,,,,,,
"Tuesday, Sep 24",TBR,@,DET,,,,,,,,,,,,,,,,
"Wednesday, Sep 25",TBR,@,DET,,,,,,,,,,,,,,,,
"Thursday, Sep 26",TBR,@,DET,,,,,,,,,,,,,,,,
"Friday, Sep 27",TBR,@,BOS,,,,,,,,,,,,,,,,
"Saturday, Sep 28",TBR,@,BOS,,,,,,,,,,,,,,,,
"Sunday, Sep 29",TBR,@,BOS,,,,,,,,,,,,,,,,
