Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Saturday, Jul 27",NYY,@,BOS,,,,,,,,,,,,,,,,
"Sunday, Jul 28",NYY,@,BOS,,,,,,,,,,,,,,,,
"Monday, Jul 29",NYY,@,PHI,,,,,,,,,,,,,,,,
"Tuesday, Jul 30",NYY,@,PHI,,,,,,,,,,,,,,,,
"Wednesday, Jul 31",NYY,@,PHI,,,,,,,,,,,,,,,,
"Friday, Aug 2",NYY,Home,TOR,,,,,,,,,,,,,,,,
"Saturday, Aug 3",NYY,Home,TOR,,,,,,,,,,,,,,,,
"Sunday, Aug 4",NYY,Home,TOR,,,,,,,,,,,,,,,,
"Tuesday, Aug 6",NYY,Home,LAA,,,,,,,,,,,,,,,,
"Wednesday, Aug 7",NYY,Home,LAA,,,,,,,,,,,,,,,,
"Thursday, Aug 8",NYY,Home,LAA,,,,,,,,,,,,,,,,
"Friday, Aug 9",NYY,Home,TEX,,,,,,,,,,,,,,,,
"Saturday, Aug 10",NYY,Home,TEX,,,,,,,,,,,,,,,,
"Sunday, Aug 11",NYY,Home,TEX,,,,,,,,,,,,,,,,
"Monday, Aug 12",NYY,@,CHW,,,,,,,,,,,,,,,,
"Tuesday, Aug 13",NYY,@,CHW,,,,,,,,,,,,,,,,
"Wednesday, Aug 14",NYY,@,CHW,,,,,,,,,,,,,,,,
"Friday, Aug 16",NYY,@,DET,,,,,,,,,,,,,,,,
"Saturday, Aug 17",NYY,@,DET,,,,,,,,,,,,,,,,
"Sunday, Aug 18",NYY,@,DET,,,,,,,,,,,,,,,,
"Tuesday, Aug 20",NYY,Home,CLE,,,,,,,,,,,,,,,,
"Wednesday, Aug 21",NYY,Home,CLE,,,,,,,,,,,,,,,,
"Thursday, Aug 22",NYY,Home,CLE,,,,,,,,,,,,,,,,
"Friday, Aug 23",NYY,Home,COL,,,,,,,,,,,,,,,,
"Saturday, Aug 24",NYY,Home,COL,,,,,,,,,,,,,,,,
"Sunday, Aug 25",NYY,Home,COL,,,,,,,,,,,,,,,,
"Monday, Aug 26",NYY,@,WSN,,,,,,,,,,,,,,,,
"Tuesday, Aug 27",NYY,@,WSN,,,,,,,,,,,,,,,,
"Wednesday, Aug 28",NYY,@,WSN,,,,,,,,,,,,,,,,
"Friday, Aug 30",NYY,Home,STL,,,,,,,,,,,,,,,,
