Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Tuesday, May 21",MIN,@,WSN,W,10.0,0.0,9.0,25-23,3.0,6.5,Ryan,Corbin,None,2:20,N,23597.0,.86,1.0,
"Wednesday, May 22",MIN,@,WSN,W,3.0,2.0,9.0,26-23,3.0,6.5,Okert,Irvin,Durán,2:34,D,21837.0,.92,2.0,
"Friday, May 24",MIN,Home,TEX,W,3.0,2.0,9.0,27-23,3.0,6.5,Ober,Ureña,Durán,2:35,N,21857.0,.97,3.0,
"Saturday, May 25",MIN,Home,TEX,W,5.0,3.0,9.0,28-23,3.0,6.5,Sands,Robertson,Durán,2:36,D,30957.0,.97,4.0,
"Sunday, May 26",MIN,Home,TEX,L,2.0,6.0,9.0,28-24,3.0,7.5,Latz,López,None,2:55,D,27917.0,1.00,-1.0,
"Monday, May 27",MIN,Home,KCR,W,6.0,5.0,9.0,29-24,3.0,6.5,Ryan,Marsh,Durán,2:24,D,17508.0,1.10,1.0,
"Tuesday, May 28",MIN,Home,KCR,W,4.0,2.0,9.0,30-24,3.0,6.5,Woods Richardson,Ragans,Durán,2:37,N,15174.0,1.16,2.0,
"Wednesday, May 29",MIN,Home,KCR,L,1.0,6.0,9.0,30-25,3.0,6.5,Lugo,Ober,None,2:26,N,18130.0,1.15,-1.0,
"Thursday, May 30",MIN,Home,KCR,W,7.0,6.0,9.0,31-25,3.0,6.0,Thielbar,Stratton,Durán,2:30,D,22542.0,1.14,1.0,
"Friday, May 31",MIN,@,HOU,W,6.0,1.0,9.0,32-25,3.0,6.0,López,Blanco,None,2:39,N,36903.0,1.05,2.0,
"Saturday, Jun 1",MIN,@,HOU,L,2.0,5.0,9.0,32-26,3.0,7.0,Valdez,Ryan,Hader,2:19,D,33855.0,1.07,-1.0,
"Sunday, Jun 2",MIN,@,HOU,W,4.0,3.0,9.0,33-26,3.0,6.0,Okert,Pressly,Durán,2:49,D,34242.0,1.02,1.0,
"Tuesday, Jun 4",MIN,@,NYY,L,1.0,5.0,9.0,33-27,3.0,7.0,Gil,Ober,None,2:22,N,37139.0,1.05,-1.0,
"Wednesday, Jun 5",MIN,@,NYY,L,5.0,9.0,9.0,33-28,3.0,7.5,Rodón,Paddack,None,2:36,N,43202.0,1.04,-2.0,
"Thursday, Jun 6",MIN,@,NYY,L,5.0,8.0,9.0,33-29,3.0,7.5,Weaver,López,Holmes,3:08,N,41380.0,.99,-3.0,
"Friday, Jun 7",MIN,@,PIT,L,0.0,3.0,9.0,33-30,3.0,7.5,Keller,Ryan,Bednar,2:17,N,19552.0,.93,-4.0,
"Saturday, Jun 8",MIN,@,PIT,L,0.0,4.0,9.0,33-31,3.0,8.5,Stratton,Woods Richardson,None,2:32,D,29700.0,.91,-5.0,
