Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Sunday, Sep 1",CHC,@,WSN,,,,,,,,,,,,,,,,
"Monday, Sep 2",CHC,Home,PIT,,,,,,,,,,,,,,,,
"Tuesday, Sep 3",CHC,Home,PIT,,,,,,,,,,,,,,,,
"Wednesday, Sep 4",CHC,Home,PIT,,,,,,,,,,,,,,,,
"Friday, Sep 6",CHC,Home,NYY,,,,,,,,,,,,,,,,
"Saturday, Sep 7",CHC,Home,NYY,,,,,,,,,,,,,,,,
"Sunday, Sep 8",CHC,Home,NYY,,,,,,,,,,,,,,,,
"Monday, Sep 9",CHC,@,LAD,,,,,,,,,,,,,,,,
"Tuesday, Sep 10",CHC,@,LAD,,,,,,,,,,,,,,,,
"Wednesday, Sep 11",CHC,@,LAD,,,,,,,,,,,,,,,,
"Friday, Sep 13",CHC,@,COL,,,,,,,,,,,,,,,,
"Saturday, Sep 14",CHC,@,COL,,,,,,,,,,,,,,,,
"Sunday, Sep 15",CHC,@,COL,,,,,,,,,,,,,,,,
"Monday, Sep 16",CHC,Home,OAK,,,,,,,,,,,,,,,,
"Tuesday, Sep 17",CHC,Home,OAK,,,,,,,,,,,,,,,,
"Wednesday, Sep 18",CHC,Home,OAK,,,,,,,,,,,,,,,,
"Thursday, Sep 19",CHC,Home,WSN,,,,,,,,,,,,,,,,
"Friday, Sep 20",CHC,Home,WSN,,,,,,,,,,,,,,,,
"Saturday, Sep 21",CHC,Home,WSN,,,,,,,,,,,,,,,,
"Sunday, Sep 22",CHC,Home,WSN,,,,,,,,,,,,,,,,
"Monday, Sep 23",CHC,@,PHI,,,,,,,,,,,,,,,,
"Tuesday, Sep 24",CHC,@,PHI,,,,,,,,,,,,,,,,
"Wednesday, Sep 25",CHC,@,PHI,,,,,,,,,,,,,,,,
"Friday, Sep 27",CHC,Home,CIN,,,,,,,,,,,,,,,,
"Saturday, Sep 28",CHC,Home,CIN,,,,,,,,,,,,,,,,
"Sunday, Sep 29",CHC,Home,CIN,,,,,,,,,,,,,,,,
