Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Friday, Jun 21",ATL,@,NYY,W,8.0,1.0,9.0,42-31,2.0,6.0,Sale,Rodón,None,2:57,N,45226.0,1.05,4.0,
"Saturday, Jun 22",ATL,@,NYY,L,3.0,8.0,9.0,42-32,2.0,7.0,Stroman,Morton,None,2:36,N,45056.0,1.14,-1.0,
"Sunday, Jun 23",ATL,@,NYY,W,3.0,1.0,9.0,43-32,2.0,7.0,Fried,Cortés,Iglesias,2:14,D,46683.0,1.06,1.0,
"Monday, Jun 24",ATL,@,STL,L,3.0,4.0,9.0,43-33,2.0,8.0,Lynn,Schwellenbach,Helsley,2:24,N,36005.0,1.11,-1.0,
"Wednesday, Jun 26 (1)",ATL,@,STL,W,6.0,2.0,9.0,44-33,2.0,8.0,López,Gibson,None,2:49,D,33997.0,1.17,1.0,
"Wednesday, Jun 26 (2)",ATL,@,STL,L,1.0,4.0,9.0,44-34,2.0,8.0,Liberatore,Elder,Helsley,2:15,N,33921.0,1.15,-1.0,
"Thursday, Jun 27",ATL,@,CHW,L,0.0,1.0,9.0,44-35,2.0,8.0,Shuster,Sale,Kopech,2:14,D,12656.0,1.04,-2.0,
"Friday, Jun 28",ATL,Home,PIT,W,6.0,1.0,9.0,45-35,2.0,8.0,Morton,Pérez,None,2:39,N,42155.0,1.14,1.0,
"Saturday, Jun 29",ATL,Home,PIT,W-wo,2.0,1.0,10.0,46-35,2.0,7.0,Hernández,Nicolas,None,2:58,D,40864.0,1.06,2.0,
"Sunday, Jun 30",ATL,Home,PIT,L,2.0,4.0,9.0,46-36,2.0,8.0,Falter,Schwellenbach,Chapman,2:31,D,36679.0,1.13,-1.0,
"Tuesday, Jul 2",ATL,Home,SFG,L,3.0,5.0,9.0,46-37,2.0,9.0,Birdsong,Lee,Doval,2:45,N,34047.0,1.12,-2.0,
"Wednesday, Jul 3",ATL,Home,SFG,W,3.0,1.0,9.0,47-37,2.0,9.0,Sale,Hicks,Iglesias,2:27,N,38834.0,1.07,1.0,
"Thursday, Jul 4",ATL,Home,SFG,L,2.0,4.0,9.0,47-38,2.0,9.0,Webb,Morton,Doval,2:24,N,40672.0,1.04,-1.0,
"Friday, Jul 5",ATL,Home,PHI,L,6.0,8.0,9.0,47-39,2.0,10.0,Nola,Fried,Hoffman,3:01,N,40942.0,1.18,-2.0,
"Saturday, Jul 6",ATL,Home,PHI,W,5.0,1.0,9.0,48-39,2.0,9.0,Schwellenbach,Suárez,None,2:16,N,41006.0,1.14,1.0,
"Sunday, Jul 7",ATL,Home,PHI,W,6.0,0.0,9.0,49-39,2.0,8.0,López,Mercado,None,2:26,D,36808.0,1.21,2.0,
"Monday, Jul 8",ATL,@,ARI,W,5.0,4.0,11.0,50-39,2.0,7.5,Iglesias,Martinez,Jiménez,2:45,N,20594.0,1.14,3.0,
"Tuesday, Jul 9",ATL,@,ARI,W,6.0,2.0,9.0,51-39,2.0,7.5,Sale,Gallen,None,2:46,N,21652.0,1.11,4.0,
"Wednesday, Jul 10",ATL,@,ARI,L,5.0,7.0,9.0,51-40,2.0,8.5,Thompson,Jiménez,Sewald,2:21,N,18020.0,1.07,-1.0,
"Thursday, Jul 11",ATL,@,ARI,L,0.0,1.0,9.0,51-41,2.0,9.5,Pfaadt,Fried,Sewald,2:29,N,27101.0,1.06,-2.0,
"Friday, Jul 12",ATL,@,SDP,W,6.0,1.0,9.0,52-41,2.0,8.5,Schwellenbach,Waldron,None,2:12,N,44390.0,1.09,1.0,
"Saturday, Jul 13",ATL,@,SDP,L,0.0,4.0,9.0,52-42,2.0,9.5,Cease,López,None,2:32,D,43097.0,1.05,-1.0,
"Sunday, Jul 14",ATL,@,SDP,W,6.0,3.0,9.0,53-42,2.0,8.5,Sale,Vásquez,Iglesias,2:35,D,42132.0,1.14,1.0,
