game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary,losing_Team
716864,2023-08-25T00:10:00Z,2023-08-24,R,Final,Oakland Athletics,Chicago White Sox,133,145,N,1,Jesse Scholtens,Ken Waldichuk,,,8,5,9,Bottom,4,Guaranteed Rate Field,[],OAK leads 1-0,Oakland Athletics,Chicago White Sox,Lucas Erceg,Jimmy Lambert,Trevor May,2023-08-24 - Oakland Athletics (8) @ Chicago White Sox (5) (Final),
716868,2023-08-25T01:40:00Z,2023-08-24,R,Final,Cincinnati Reds,Arizona Diamondbacks,113,109,N,1,Merrill Kelly,Brandon Williamson,,,2,3,9,Top,15,Chase Field,['FS1'],AZ leads 1-0,Arizona Diamondbacks,Cincinnati Reds,Miguel Castro,Alex Young,Paul Sewald,2023-08-24 - Cincinnati Reds (2) @ Arizona Diamondbacks (3) (Final),
716858,2023-08-25T22:40:00Z,2023-08-25,R,Final,Houston Astros,Detroit Tigers,117,116,N,1,Matt Manning,Framber Valdez,,,1,4,9,Bottom,2394,Comerica Park,[],DET leads 1-0,Detroit Tigers,Houston Astros,Alex Lange,Ryan Pressly,,2023-08-25 - Houston Astros (1) @ Detroit Tigers (4) (Final),
716863,2023-08-25T22:40:00Z,2023-08-25,R,Final,Washington Nationals,Miami Marlins,120,146,N,1,Braxton Garrett,Joan Adon,,,7,4,9,Bottom,4169,loanDepot park,[],WSH leads 1-0,Washington Nationals,Miami Marlins,Joan Adon,Braxton Garrett,Hunter Harvey,2023-08-25 - Washington Nationals (7) @ Miami Marlins (4) (Final),
716854,2023-08-25T22:40:00Z,2023-08-25,R,Final,New York Yankees,Tampa Bay Rays,147,139,N,1,Zach Eflin,Gerrit Cole,,,6,2,9,Bottom,12,Tropicana Field,[],NYY leads 1-0,New York Yankees,Tampa Bay Rays,Gerrit Cole,Zach Eflin,,2023-08-25 - New York Yankees (6) @ Tampa Bay Rays (2) (Final),
716859,2023-08-25T23:05:00Z,2023-08-25,R,Final,Colorado Rockies,Baltimore Orioles,115,110,N,1,Cole Irvin,Kyle Freeland,,,4,5,9,Top,2,Oriole Park at Camden Yards,['MLBN (out-of-market only)'],BAL leads 1-0,Baltimore Orioles,Colorado Rockies,Shintaro Fujinami,Brent Suter,Danny Coulombe,2023-08-25 - Colorado Rockies (4) @ Baltimore Orioles (5) (Final),
716862,2023-08-25T23:05:00Z,2023-08-25,R,Final,Chicago Cubs,Pittsburgh Pirates,112,134,N,1,Mitch Keller,Kyle Hendricks,,,1,2,9,Top,31,PNC Park,[],Series tied 1-1,Pittsburgh Pirates,Chicago Cubs,Mitch Keller,Kyle Hendricks,David Bednar,2023-08-25 - Chicago Cubs (1) @ Pittsburgh Pirates (2) (Final),
716861,2023-08-25T23:05:00Z,2023-08-25,R,Final,St. Louis Cardinals,Philadelphia Phillies,138,143,N,1,Cristopher Sánchez,Miles Mikolas,,,2,7,9,Top,2681,Citizens Bank Park,['MLBN (out-of-market only)'],PHI leads 1-0,Philadelphia Phillies,St. Louis Cardinals,Cristopher Sánchez,Miles Mikolas,,2023-08-25 - St. Louis Cardinals (2) @ Philadelphia Phillies (7) (Final),
716860,2023-08-25T23:07:00Z,2023-08-25,R,Final,Cleveland Guardians,Toronto Blue Jays,114,141,N,1,Chris Bassitt,Tanner Bibee,,,5,2,9,Bottom,14,Rogers Centre,[],CLE leads 1-0,Cleveland Guardians,Toronto Blue Jays,Tanner Bibee,Chris Bassitt,Emmanuel Clase,2023-08-25 - Cleveland Guardians (5) @ Toronto Blue Jays (2) (Final),
716866,2023-08-25T23:10:00Z,2023-08-25,R,Final,Los Angeles Dodgers,Boston Red Sox,119,111,N,1,Kutter Crawford,Lance Lynn,,,7,4,9,Bottom,3,Fenway Park,"['Apple TV+', 'MLB.tv Free Game']",LAD leads 1-0,Los Angeles Dodgers,Boston Red Sox,Lance Lynn,Nick Pivetta,Evan Phillips,2023-08-25 - Los Angeles Dodgers (7) @ Boston Red Sox (4) (Final),
