year,Team,HR,TBF,FIP,xFIP,K/9,BB/9,K-BB%,HR/9,Barrel%,HardHit%
2022,ARI,183,5766,4.384356573014221,4.37164585501214,7.556763787721124,3.1953208463406177,0.11713995837669094,1.21747311827957,0.08022684703433923,0.3791697884148456
2022,ATH,168,5215,4.56207861936721,4.573589645254075,7.314715244487056,3.2989319271332693,0.10546097794822626,1.2506155321188879,0.08514381591562799,0.3850255033557047
2022,ATL,126,5172,3.4409300077339524,3.50699535962877,9.713226991492652,3.071144624903326,0.18088283062645008,0.9211871616395979,0.06760034802784222,0.3688051044083527
2022,BAL,155,5316,4.092266741911212,4.135701655379985,7.467904439428141,2.7294450714823175,0.12652972159518433,1.1104288939051918,0.07840556809631301,0.3881455981941309
2022,BOS,174,5696,4.193204002808988,4.109819171348314,8.310591643258427,3.188613061797753,0.13450316011235952,1.1947401685393257,0.08503142556179774,0.40637008426966287
2022,CHC,169,5133,4.413214494447691,4.166358854471069,8.210547438145333,3.340027274498344,0.12846912137151764,1.2839119423339178,0.0793810637054354,0.37354665887395283
2022,CHW,156,5883,3.756025837157913,3.9064983851776307,9.036806051334352,3.255592384837668,0.1530821009688934,1.0120941696413395,0.07142767295597484,0.3773105558388577
2022,CIN,185,5128,4.8969929797191885,4.473728549141965,8.658340483619344,3.9519871294851794,0.12108482839313572,1.4660939937597504,0.08349999999999999,0.38681961778471136
2022,CLE,172,5940,3.8225353535353537,3.8037861952861958,8.554867003367002,2.7352760942760943,0.160096632996633,1.0989545454545455,0.08185791245791246,0.3953106060606061
2022,COL,164,5560,4.3936061151079135,4.283944244604316,7.507611510791367,3.3959046762589926,0.10484640287769782,1.1688309352517985,0.07359640287769781,0.4196012589928057
2022,DET,158,5660,4.168588339222615,4.336856890459364,7.567107773851591,3.2240918727915195,0.11450724381625439,1.0782844522968198,0.08146872791519434,0.39820282685512365
2022,HOU,127,5521,3.3060641188190543,3.535899293606231,9.567444303568195,2.918147074805289,0.18427549357000542,0.8438742981343959,0.06516174606049627,0.36917442492302116
2022,KCR,159,5640,4.488806737588653,4.479758865248227,7.533783687943263,3.824826241134752,0.09635425531914892,1.133732269503546,0.07458971631205673,0.41111187943262406
2022,LAA,144,5315,3.93414863593603,3.9761580432737533,8.749040451552212,3.457207902163688,0.14225719661335842,1.0317610536218251,0.07625644402634053,0.3707834430856068
2022,LAD,138,5357,3.456285234272914,3.6601512040321076,9.093789434384917,2.5344315848422627,0.18144297181258165,0.9435038267687139,0.06438566361769646,0.3403442225126003
2022,MIA,163,5610,3.9825597147950087,3.7652228163992874,9.056260249554368,3.3003761140819967,0.15236238859180035,1.122825311942959,0.07210320855614973,0.3647527629233511
2022,MIL,165,5614,3.8910384752404705,3.708794086213039,9.274470965443534,3.281375133594585,0.16203544709654433,1.112253295333096,0.0635073031706448,0.35775757035981476
2022,MIN,161,5348,3.9643156320119672,4.051037771129394,8.433496634255798,2.8322120418848167,0.1502939416604338,1.1462154076290203,0.07690407629020193,0.38321035901271505
2022,NYM,160,5742,3.4888244514106588,3.4473406478578896,9.757159526297457,2.65609543712992,0.1934919888540578,1.0483820968303728,0.0754390456287008,0.3731379310344827
2022,NYY,130,4849,3.4861270365023715,3.571437409775211,9.31138172819138,2.744266859146216,0.18053722416993193,0.9755124767993402,0.0674433903897711,0.35933367704681374
2022,PHI,134,5488,3.5683801020408166,3.680952988338192,9.081242711370262,2.9491071428571427,0.16452150145772595,0.922758746355685,0.07043494897959184,0.348490889212828
2022,PIT,131,4591,4.479638423001525,4.354911783925071,7.882585493356567,3.6592746678283596,0.10825898497059463,1.1886125027227183,0.0748497059464169,0.40023023306469174
2022,SDP,168,5721,3.8525362698828878,3.8664359377731166,8.947524908232827,2.90015556720853,0.16188935500786575,1.104191574899493,0.07578570180038453,0.3794927460234225
2022,SEA,165,5426,3.881091043125691,3.9453575377810544,8.563403980833026,2.7786085514190932,0.1583004054552156,1.1336564688536677,0.07392757095466274,0.37102911905639513
2022,SFG,127,5703,3.456566719270559,3.586771874452043,8.663503419253024,2.734911450113975,0.15725670699631772,0.8600298088725232,0.0613440294581799,0.3831606172190075
2022,STL,130,5176,4.102642967542503,4.135546754250386,7.208268933539412,3.1470189335394125,0.10966441267387943,0.9719339258114374,0.06733442812982998,0.376943972179289
2022,TBR,158,5402,3.7475212884116993,3.7296556830803405,8.576653091447612,2.3743502406516104,0.17084005923731949,1.1184413180303592,0.0722932247315809,0.35583561643835615
2022,TEX,161,5924,4.204064821066847,4.1334267386900745,8.145551991897367,3.6603528021607024,0.11784385550303847,1.0583457123565159,0.07191070222822417,0.3806397704253882
2022,TOR,162,5476,3.8552574872169467,3.8371055514974435,8.772770270270271,2.623489773557341,0.16358199415631847,1.1431701972242512,0.0851672753834916,0.3945189919649379
2022,WSN,226,5897,4.953581482109548,4.5258877395285735,7.820598609462438,3.644687129048669,0.10848787519077498,1.5230150924198744,0.08419552314736306,0.4024409021536374
2023,ARI,182,5577,4.409910346064192,4.404873587950511,8.378445400753092,3.2980527165142552,0.1353469607315761,1.256993006993007,0.09274484489869102,0.4170794333871257
2023,ATH,197,5867,5.11426964377024,5.215336628600648,8.118007499573888,4.425892278847793,0.09402778251235724,1.3795534344639508,0.08397869439236408,0.38595568433611727
2023,ATL,174,5831,4.097406962785114,4.140646544332019,9.42510375578803,3.3800411593208715,0.159962442119705,1.1513736923340765,0.07618435945806894,0.3849157948893843
