year,Team,HR,PA,wOBA,K%,BB%,Barrel%,HardHit%
2022,ARI,148,5356,0.30105993278566096,0.2195324869305452,0.08932935026138908,0.06368988050784168,0.3507218073188947
2022,ATH,122,5199,0.2752942873629544,0.242597807270629,0.07475014425851123,0.06486305058665127,0.34407828428543946
2022,ATL,238,5850,0.33261726495726496,0.246768547008547,0.07617470085470085,0.11341811965811965,0.4406690598290598
2022,BAL,159,5536,0.30524259393063585,0.22921893063583812,0.07929895231213872,0.08015408236994219,0.3842498193641618
2022,BOS,134,4886,0.32599119934506754,0.22809455587392552,0.08072779369627507,0.08978714695047071,0.4126363078182562
2022,CHC,147,5515,0.3094404351767906,0.23593164097914773,0.08393019038984587,0.07354433363553943,0.3752337262012692
2022,CHW,140,5766,0.3071416926812348,0.20911654526534856,0.06469181408255288,0.07743756503642038,0.41190548040235864
2022,CIN,106,4439,0.29345100247803557,0.23168731696328002,0.07286438387024104,0.05375872944356836,0.32792948862356386
2022,CLE,114,5548,0.31167862292718096,0.17150630857966834,0.07387166546503242,0.04579722422494591,0.32679217736121124
2022,COL,149,6105,0.31252792792792794,0.21787354627354627,0.07422244062244061,0.06095397215397215,0.370870434070434
2022,DET,108,5550,0.2790920720720721,0.23822288288288287,0.06157747747747748,0.06453567567567568,0.3650873873873874
2022,HOU,199,5397,0.3327559755419678,0.192248656661108,0.08980266814897163,0.0866296090420604,0.39663979988882714
2022,KCR,119,4748,0.2993262426284751,0.2301560657118787,0.07172051390058971,0.0784776748104465,0.3793833192923336
2022,LAA,175,5312,0.3059698795180723,0.2462978162650602,0.07610372740963854,0.09168994728915662,0.3682652484939759
2022,LAD,189,5780,0.33576124567474047,0.2081780276816609,0.09522993079584773,0.08947370242214531,0.41346107266435983
2022,MIA,128,5354,0.29113970862906235,0.2382177810982443,0.07453660814344414,0.0741081434441539,0.377689764661935
2022,MIL,218,6096,0.31775131233595805,0.23917421259842517,0.09452034120734906,0.08831594488188975,0.39760974409448824
2022,MIN,178,6035,0.31606512013256005,0.2193352112676056,0.08409478044739022,0.09175343827671914,0.4183864125932063
2022,NYM,156,5460,0.33043919413919415,0.18639615384615385,0.07953956043956042,0.07079157509157509,0.36881446886446884
2022,NYY,239,5619,0.3323787150738566,0.2176727175654031,0.09998825413774692,0.10654493682149847,0.42481224417156077
2022,PHI,200,5773,0.3232078641953923,0.220086090420925,0.08055759570413995,0.09075714533171662,0.415715745712801
2022,PIT,139,5179,0.2920739525004827,0.25893473643560533,0.07876926047499516,0.0684188067194439,0.3805018343309519
2022,SDP,113,4580,0.31151288209606987,0.2142150655021834,0.08914170305676855,0.0591593886462882,0.3676593886462881
2022,SEA,180,5679,0.31227434407466104,0.22628226800493045,0.0950903328050713,0.08472917767212537,0.36541908786758237
2022,SFG,157,5291,0.3127187677187677,0.23294878094878094,0.09234643734643733,0.08274333774333774,0.37284331884331884
2022,STL,191,5723,0.3304920496243229,0.19796051022191155,0.09026035296173335,0.08009977284640922,0.38363865105713785
2022,TBR,120,5139,0.30613913212687294,0.21863689433741973,0.08678030745281182,0.06353103716676396,0.38674508659272233
2022,TEX,192,5872,0.30416944822888287,0.2380926430517711,0.07438896457765667,0.07981811989100818,0.3925362738419618
2022,TOR,188,5752,0.3354770514603616,0.1951319541029207,0.08247670375521556,0.08767280945757996,0.44828424895688457
2022,WSN,84,4333,0.2890503115624279,0.21631502423263327,0.06029240710823907,0.05598799907685206,0.34601361643203327
2023,ARI,158,5435,0.3216224471021159,0.200448758049678,0.08861011959521617,0.06394517019319226,0.38119540018399267
2023,ATH,159,5396,0.2940711638250556,0.24936267605633802,0.08247498146775388,0.07733858413639733,0.36352687175685694
2023,ATL,306,6168,0.3605570687418937,0.206602140077821,0.08641261348897535,0.12082668612191957,0.461352140077821
2023,BAL,176,5887,0.3189677254968575,0.22445201290980124,0.08108951927976897,0.08111754713776116,0.41162731442160694
2023,BOS,173,5625,0.32775608888888885,0.2233461333333333,0.07809546666666667,0.08010168888888888,0.40747822222222224
2023,CHC,187,6009,0.3254251955400233,0.2222351472790814,0.09126410384423364,0.07982443002163421,0.3895548344150441
2023,CHW,138,5387,0.2932801188045294,0.2251633562279562,0.06244533135325784,0.06761722665676625,0.368751067384444
2023,CIN,197,6116,0.32607325049051666,0.24271173969914978,0.08944882275997382,0.07124460431654676,0.36836510791366905
2023,CLE,107,5122,0.30150156188988675,0.18349785240140568,0.07595568137446308,0.05046036704412337,0.3156960171807887
2023,COL,130,4797,0.30765666041275797,0.2664171357098186,0.07211611423806544,0.08094121325828643,0.3652618303106108
2023,DET,158,5659,0.3040625552217706,0.23959992931613358,0.08530623785121046,0.08305354302880368,0.4048738292984626
2023,HOU,220,6180,0.33233446601941746,0.19868122977346278,0.08746601941747573,0.08261569579288026,0.3861098705501618
2023,KCR,149,5581,0.30193065758824583,0.23483569252822073,0.06683820103924026,0.08210016126142268,0.41836946783730505
2023,LAA,193,4940,0.32834109311740894,0.2502131578947368,0.09071295546558703,0.10169777327935221,0.40653198380566796
2023,LAD,234,5866,0.34391135356290486,0.21413365155131264,0.10358029321513808,0.09643334469826115,0.41271735424480055
2023,MIA,133,5278,0.30852993558165975,0.20659928003031452,0.07264607805987117,0.06962466843501326,0.3776320575975748
2023,MIL,143,5394,0.3085919540229885,0.23719985168705968,0.09713329625509826,0.0769627363737486,0.37805079718205414
2023,MIN,231,6146,0.32705662219329645,0.26611649853563296,0.0952634233647901,0.10716579889358932,0.4187832736739343
